rf,std_rf,cp,std_cp,n_quartets,std_quartets,r_d,r_l,coal_unit,model
5.402519496,0.043191388,0.798350096,0.000467578,492.990212,1.709853013,6,0.7,18,MLMSC-II
2.688662268,0.034727636,0.832363348,0.000494985,528.1107978,1.76855874,6,0.7,9,MLMSC-II
1.369326135,0.031410776,0.854831562,0.000597282,408.0733753,1.615112691,6,0.9,1,MLMSC-II
6.571485703,0.049792488,0.797092757,0.000532708,342.8635173,1.404152333,6,0.9,18,MLMSC-II
3.773245351,0.042332919,0.828173791,0.000556796,371.6079884,1.534100253,6,0.9,9,MLMSC-II
1.790841832,0.036844773,0.853751982,0.000613624,349.6996601,1.463423766,6,1,1,MLMSC-II
7.424915017,0.053236035,0.795049862,0.000573982,283.3141572,1.252948059,6,1,18,MLMSC-II
4.310737852,0.046094898,0.82773375,0.000599629,312.6914817,1.386737256,6,1,9,MLMSC-II
2.393521296,0.043543114,0.852703023,0.000659683,298.30021,1.379305032,6,1.1,1,MLMSC-II
8.127574485,0.056510049,0.793805344,0.000603586,236.4435213,1.122168754,6,1.1,18,MLMSC-II
5.089382124,0.050790608,0.825815255,0.000615915,265.6772346,1.237315811,6,1.1,9,MLMSC-II
3.594481104,0.052813506,0.851704422,0.000713721,217.3743251,1.101360898,6,1.3,1,MLMSC-II
9.392121576,0.059037149,0.791236058,0.000663865,168.4014797,0.89150372,6,1.3,18,MLMSC-II
6.400719856,0.056976039,0.823231366,0.000674335,189.1509398,1.00590991,6,1.3,9,MLMSC-II
4.878224355,0.059425645,0.847509839,0.000764796,162.6093881,0.917877667,6,1.5,1,MLMSC-II
10.66026795,0.061775307,0.78737219,0.000734438,116.4044791,0.697844822,6,1.5,18,MLMSC-II
7.707615099,0.065611843,0.817461805,0.000792085,137.654604,0.842133933,6,1.5,9,MLMSC-II
0,0,0.999936787,2.74E-06,1820,0,0,0.4,1,DLCoal
0,0,0.999936787,2.74E-06,1820,0,0,0.5,1,DLCoal
0,0,0.999936787,2.74E-06,1820,0,0,0.7,1,DLCoal
0,0,0.999936787,2.74E-06,1820,0,0,0.9,1,DLCoal
0,0,0.999936787,2.74E-06,1820,0,0,1,1,DLCoal
0,0,0.999936787,2.74E-06,1820,0,0,1.1,1,DLCoal
0,0,0.999936787,2.74E-06,1820,0,0,1.3,1,DLCoal
0,0,0.999936787,2.74E-06,1820,0,0,1.5,1,DLCoal
0,0,0.999936787,2.74E-06,1820,0,0,2,1,DLCoal
0.669866027,0.015376302,0.90396919,0.000170398,1820,0,0,0.4,18,DLCoal
0.669866027,0.015376302,0.90396919,0.000170398,1820,0,0,0.5,18,DLCoal
0.669866027,0.015376302,0.90396919,0.000170398,1820,0,0,0.7,18,DLCoal
0.669866027,0.015376302,0.90396919,0.000170398,1820,0,0,0.9,18,DLCoal
0.669866027,0.015376302,0.90396919,0.000170398,1820,0,0,1,18,DLCoal
0.669866027,0.015376302,0.90396919,0.000170398,1820,0,0,1.1,18,DLCoal
0.669866027,0.015376302,0.90396919,0.000170398,1820,0,0,1.3,18,DLCoal
0.669866027,0.015376302,0.90396919,0.000170398,1820,0,0,1.5,18,DLCoal
0.669866027,0.015376302,0.90396919,0.000170398,1820,0,0,2,18,DLCoal
0.053589282,0.004567423,0.958847395,0.000107649,1820,0,0,0.4,9,DLCoal
0.053589282,0.004567423,0.958847395,0.000107649,1820,0,0,0.5,9,DLCoal
0.053589282,0.004567423,0.958847395,0.000107649,1820,0,0,0.7,9,DLCoal
0.053589282,0.004567423,0.958847395,0.000107649,1820,0,0,0.9,9,DLCoal
0.053589282,0.004567423,0.958847395,0.000107649,1820,0,0,1,9,DLCoal
0.053589282,0.004567423,0.958847395,0.000107649,1820,0,0,1.1,9,DLCoal
0.053589282,0.004567423,0.958847395,0.000107649,1820,0,0,1.3,9,DLCoal
0.053589282,0.004567423,0.958847395,0.000107649,1820,0,0,1.5,9,DLCoal
0.053589282,0.004567423,0.958847395,0.000107649,1820,0,0,2,9,DLCoal
0,0,0.974341584,0.000209239,1520.385453,1.582787644,1,0.4,1,DLCoal
1.062587483,0.019509492,0.885077871,0.00023542,1515.160468,1.587996173,1,0.4,18,DLCoal
0.130373925,0.007207597,0.935830233,0.000218061,1518.843511,1.6411984,1,0.4,9,DLCoal
0,0,0.974250251,0.000209764,1454.804779,1.721189036,1,0.5,1,DLCoal
1.060587882,0.019154955,0.884458775,0.000235375,1448.022206,1.74135242,1,0.5,18,DLCoal
0.148770246,0.007592172,0.935052939,0.000216363,1453.897481,1.717900513,1,0.5,9,DLCoal
0,0,0.973681474,0.000218756,1325.634303,1.916302625,1,0.7,1,DLCoal
1.122175565,0.019616755,0.884390622,0.000241236,1328.246471,1.866968858,1,0.7,18,DLCoal
0.169966007,0.008107281,0.934728632,0.000227132,1326.215867,1.860925652,1,0.7,9,DLCoal
0,0,0.972939767,0.000227174,1214.562757,2.002668646,1,0.9,1,DLCoal
1.217356529,0.020531562,0.88342061,0.00025338,1209.206859,1.976575663,1,0.9,18,DLCoal
0.200359928,0.008842733,0.934696357,0.000235721,1212.333153,2.020919072,1,0.9,9,DLCoal
0,0,0.972227118,0.000243747,1109.94872,2.062387616,1,1.1,1,DLCoal
1.329734053,0.021509956,0.883319249,0.000257753,1112.528174,2.03341048,1,1.1,18,DLCoal
0.219156169,0.009276582,0.933565824,0.000244298,1110.874335,2.065368228,1,1.1,9,DLCoal
0,0,0.972312823,0.000244136,1021.943411,2.043648055,1,1.3,1,DLCoal
1.50609878,0.022871334,0.882581875,0.000269122,1020.425695,2.003508258,1,1.3,18,DLCoal
0.231953609,0.009454072,0.93262928,0.00025875,1019.821276,2.042698437,1,1.3,9,DLCoal
