rf,std_rf,cp,std_cp,n_quartets,std_quartets,r_d,r_l,coal_unit,model
0.663467307,0.015473097,0.904091621,0.00016957,1820,0,0,1.3,18,DLCoal
0.663467307,0.015473097,0.904091621,0.00016957,1820,0,0,1.5,18,DLCoal
0.663467307,0.015473097,0.904091621,0.00016957,1820,0,0,2,18,DLCoal
0.055988802,0.004733756,0.95888764,0.00010693,1820,0,0,0.4,9,DLCoal
0.055988802,0.004733756,0.95888764,0.00010693,1820,0,0,0.5,9,DLCoal
0.055988802,0.004733756,0.95888764,0.00010693,1820,0,0,0.7,9,DLCoal
0.055988802,0.004733756,0.95888764,0.00010693,1820,0,0,0.9,9,DLCoal
0.055988802,0.004733756,0.95888764,0.00010693,1820,0,0,1,9,DLCoal
0.055988802,0.004733756,0.95888764,0.00010693,1820,0,0,1.1,9,DLCoal
0.055988802,0.004733756,0.95888764,0.00010693,1820,0,0,1.3,9,DLCoal
0.055988802,0.004733756,0.95888764,0.00010693,1820,0,0,1.5,9,DLCoal
0.055988802,0.004733756,0.95888764,0.00010693,1820,0,0,2,9,DLCoal
0,0,0.999904813,4.70E-06,1586.925085,1.802094794,1,0.4,1,DLCoal
0.673065387,0.0155451,0.902923669,0.000174409,1565.467566,1.750077637,1,0.4,18,DLCoal
0.047590482,0.004310826,0.957272819,0.000113462,1575.985113,1.766836491,1,0.4,9,DLCoal
0,0,0.999888933,5.25E-06,1512.123155,1.929940337,1,0.5,1,DLCoal
0.706658668,0.015576206,0.902104116,0.000178658,1491.265517,1.852427435,1,0.5,18,DLCoal
0.055988802,0.00466568,0.957016712,0.000116751,1511.371296,1.87295423,1,0.5,9,DLCoal
0,0,0.999859109,7.20E-06,1378.628774,1.996318917,1,0.7,1,DLCoal
0.801439712,0.016726543,0.90230114,0.000188403,1365.784963,1.984735185,1,0.7,18,DLCoal
0.065986803,0.00511505,0.956725527,0.000118105,1370.506239,2.050027823,1,0.7,9,DLCoal
0,0,0.999825345,8.73E-06,1258.416657,2.134625148,1,0.9,1,DLCoal
0.830633873,0.017195428,0.901829934,0.000191188,1241.415237,2.082975338,1,0.9,18,DLCoal
0.081983603,0.00563641,0.956993233,0.000121801,1249.328194,2.082282036,1,0.9,9,DLCoal
0,0,0.999756899,1.22E-05,1142.126885,2.15346777,1,1.1,1,DLCoal
0.936212757,0.018272364,0.902184505,0.000195727,1132.905719,2.148862916,1,1.1,18,DLCoal
0.095180964,0.00612701,0.956511305,0.000128637,1138.575605,2.122655335,1,1.1,9,DLCoal
0,0,0.999681812,1.39E-05,1042.238662,2.143047674,1,1.3,1,DLCoal
0.99540092,0.019273855,0.901451579,0.000202707,1037.340582,2.068015239,1,1.3,18,DLCoal
0.099980004,0.006266781,0.956269135,0.000132205,1040.841562,2.100822878,1,1.3,9,DLCoal
0,0,0.99957757,1.79E-05,955.2576685,2.101331439,1,1.5,1,DLCoal
1.143771246,0.020222348,0.901531162,0.00021056,942.9764747,2.105943002,1,1.5,18,DLCoal
0.138372326,0.007288294,0.956122535,0.000135908,957.8638872,2.088480606,1,1.5,9,DLCoal
0,0,0.999794638,9.45E-06,1199.092761,2.15998516,1,1,1,DLCoal
0.912617477,0.01808555,0.902052815,0.000191291,1181.379344,2.117151664,1,1,18,DLCoal
0.089182164,0.005892542,0.956662974,0.000125292,1189.870236,2.114039233,1,1,9,DLCoal
0,0,0.99927444,2.77E-05,764.5038492,2.003307108,1,2,1,DLCoal
1.432913417,0.022568293,0.901636438,0.000227228,758.1415917,1.979035788,1,2,18,DLCoal
0.189562088,0.008717603,0.955646618,0.000148953,762.6386323,1.97124717,1,2,9,DLCoal
0,0,0.999782715,9.26E-06,1418.181614,2.238787639,2,0.4,1,DLCoal
0.631873625,0.015202794,0.901777984,0.000182783,1377.711368,2.17513763,2,0.4,18,DLCoal
0.042391522,0.004151755,0.955935897,0.00011502,1403.59902,2.19698713,2,0.4,9,DLCoal
0,0,0.999710697,1.26E-05,1293.634773,2.269264444,2,0.5,1,DLCoal
0.703459308,0.016208537,0.90221991,0.000190254,1266.668156,2.180028941,2,0.5,18,DLCoal
0.043191362,0.004150106,0.955755614,0.000124068,1283.979824,2.21647724,2,0.5,9,DLCoal
